date,open,high,low,adjClose,value,volume,count,close
2019-10-14,10000.0,10000.0,10000.0,10000.0,989999900000,98999990,1474,10000.0
2019-12-01,10244.0,10355.0,10244.0,10263.0,139730778,13615,33,10298.0
2019-12-02,10260.0,10500.0,10245.0,10249.0,18115105519,1767514,68,10248.0
2019-12-03,10260.0,10260.0,10240.0,10258.0,186493360,18180,13,10240.0
2019-12-04,10250.0,10266.0,10250.0,10253.0,90522330,8829,12,10250.0
2019-12-07,10270.0,10279.0,10270.0,10278.0,5162958306,502331,74,10278.0
2019-12-08,10280.0,10290.0,10280.0,10284.0,86551761,8416,26,10288.0
2019-12-09,10290.0,10290.0,10290.0,10290.0,12090750,1175,14,10290.0
2019-12-10,10298.0,10298.0,10298.0,10298.0,36053298,3501,12,10298.0
2019-12-11,10303.0,10303.0,10303.0,10303.0,11405421,1107,4,10303.0
2019-12-14,10330.0,10330.0,10330.0,10330.0,101636870,9839,3,10330.0
2019-12-15,10337.0,10337.0,10337.0,10337.0,21001744922,2031706,42,10337.0
2019-12-16,10338.0,10345.0,10335.0,10339.0,104464007567,10103879,141,10345.0
2019-12-17,10340.0,10340.0,10335.0,10340.0,103627370,10022,7,10335.0
2019-12-18,10360.0,10360.0,10340.0,10358.0,15491805258,1495652,28,10360.0
2019-12-21,10370.0,10380.0,10370.0,10374.0,38673210,3728,9,10370.0
2019-12-22,10000.0,10008.0,10000.0,10003.0,533797495,53366,18,10002.0
2019-12-23,10015.0,10015.0,10010.0,10015.0,45846925,4578,7,10015.0
2019-12-24,10018.0,10018.0,10010.0,10010.0,10893518903,1088256,53,10010.0
2019-12-25,10011.0,10022.0,10011.0,10012.0,475257053,47468,15,10022.0
2019-12-28,10033.0,10048.0,10030.0,10035.0,1250730174,124632,25,10031.0
2019-12-29,10054.0,10059.0,10046.0,10048.0,6015064051,598652,20,10046.0
2019-12-30,10048.0,10055.0,10048.0,10055.0,2083233380,207185,8,10055.0
2019-12-31,10066.0,10150.0,10056.0,10066.0,17791982145,1767550,40,10060.0
2020-01-01,0.0,10080.0,10070.0,10074.0,30126333000,2990600,67,10070.0
2020-01-04,10066.0,10066.0,10066.0,10066.0,10066,1,1,10066.0
2020-01-05,10060.0,10060.0,10060.0,10060.0,40240,4,2,10060.0
2020-01-07,10080.0,10082.0,10080.0,10080.0,110882000,11000,2,10082.0
2020-01-08,10068.0,10129.0,10061.0,10085.0,1616569430,160298,22,10129.0
