date,open,high,low,adjClose,value,volume,count,close
2019-02-13,8300.0,8300.0,8300.0,8300.0,498000000000,60000000,347064,8300.0
2019-02-16,8715.0,8715.0,8715.0,8715.0,1077217575,123605,852,8715.0
2019-02-17,9150.0,9150.0,9150.0,9150.0,1823357100,199274,1249,9150.0
2019-02-18,9607.0,9607.0,9449.0,9605.0,171521846689,17856824,99268,9607.0
2019-02-19,9660.0,9750.0,9125.0,9412.0,164484454991,17475298,75307,9235.0
2019-02-20,9202.0,9280.0,8952.0,9103.0,90550918317,9947243,42039,9089.0
2019-02-23,9100.0,9190.0,8811.0,8931.0,68008973266,7615206,26594,8819.0
2019-02-24,8943.0,9257.0,8801.0,9100.0,63869099403,7018654,18472,9105.0
2019-02-25,9120.0,9300.0,9050.0,9146.0,33312390342,3642179,12725,9110.0
2019-02-26,9060.0,9060.0,8700.0,8879.0,39298768579,4426012,7692,8851.0
2019-02-27,8871.0,9047.0,8851.0,8926.0,18089826077,2026750,5635,8888.0
2019-03-02,8808.0,8870.0,8761.0,8796.0,21924983807,2492663,6181,8800.0
2019-03-03,8801.0,9159.0,8771.0,9004.0,36017278994,4000066,6935,9137.0
2019-03-04,9130.0,9230.0,9012.0,9083.0,19225024488,2116572,4713,9054.0
2019-03-05,9023.0,9537.0,8950.0,9454.0,105832028509,11193957,9334,9537.0
2019-03-06,9650.0,9926.0,9211.0,9828.0,105627436179,10747352,8960,9611.0
2019-03-09,9403.0,9817.0,9351.0,9586.0,51375848852,5359655,4976,9400.0
2019-03-10,9431.0,9586.0,9280.0,9407.0,27833207776,2958771,3412,9310.0
2019-03-11,9348.0,9650.0,9220.0,9442.0,34180769265,3620137,4967,9308.0
2019-03-12,9330.0,9630.0,9310.0,9430.0,31520096187,3342374,6059,9364.0
2019-03-13,9365.0,9518.0,9232.0,9294.0,36528524711,3930256,9679,9240.0
2019-03-16,9200.0,9365.0,9166.0,9241.0,20960115766,2268193,5295,9190.0
2019-03-17,9220.0,9440.0,9191.0,9318.0,13780853855,1478897,2856,9280.0
